product_name,variant_name,size,unit,sku,brand,category,selling_price
Tusker Light,Tusker Light,,unit,BR-tusker-light-tusker-light,Tusker Light,Beer,230
Tusker Light,Tusker Light Can,,can,BR-tusker-light-tusker-light-can,Tusker Light,Beer,300
Tusker Malt,Tusker Malt,,unit,BR-tusker-malt-tusker-malt,Tusker Malt,Beer,250
Tusker Malt,Tusker Malt Can,,can,BR-tusker-malt-tusker-malt-can,Tusker Malt,Beer,300
White Cap,Whitecap,,unit,BR-white-cap-whitecap,White Cap,Beer,250
White Cap,Whitecap Can,,can,BR-white-cap-whitecap-can,White Cap,Beer,300
Hunter Dry,Hunter Dry,,unit,BR-hunter-dry-hunter-dry,Hunter Dry,Cider,350
Hunters,Hunters 750ml,750ml,bottle,BR-hunters-hunters-750ml,Hunters,Cider,1700
Hunters,Hunters 1/2,500ml,bottle,BR-hunters-hunters-1-2,Hunters,Cider,700
Hunters,Hunters 1/4,250ml,bottle,BR-hunters-hunters-1-4,Hunters,Cider,400
Savannah,Savannah,,unit,BR-savannah-savannah,Savannah,Cider,350
Black Label Tots,Black Label Tots,,unit,BR-black-label-tots-black-label-tots,Black Label Tots,Whisky,250
Black N' White,Black N' White 750ml,750ml,bottle,BR-black-n-white-black-n-white-750ml,Black N' White,Whisky,1500
Black N' White,Black N' White 1/2,500ml,bottle,BR-black-n-white-black-n-white-1-2,Black N' White,Whisky,800
Grants,Grants 1 Liter,1L,bottle,BR-grants-grants-1-liter,Grants,Whisky,3500
Grants,Grants 750,750ml,bottle,BR-grants-grants-750,Grants,Whisky,3000
Grants,Grants 1/2,500ml,bottle,BR-grants-grants-1-2,Grants,Whisky,2200
Jack Daniel's,Jack Daniels 1 Liter,1L,bottle,BR-jack-daniels-jack-daniels-1-liter,Jack Daniel's,Whisky,6000
Jack Daniel's,Jack Daniels 750ml,750ml,bottle,BR-jack-daniels-jack-daniels-750ml,Jack Daniel's,Whisky,5000
Jameson,Jameson 1 Liter,1L,bottle,BR-jameson-jameson-1-liter,Jameson,Whisky,5000
Jameson,Jameson 750ml,750ml,bottle,BR-jameson-jameson-750ml,Jameson,Whisky,4500
Jameson,Jameson Half,500ml,bottle,BR-jameson-jameson-half,Jameson,Whisky,2600
Jimmy Jimro,Jimmy Jimro,,unit,BR-jimmy-jimro-jimmy-jimro,Jimmy Jimro,Whisky,500
Johnnie Walker Black Label,Black Labels 1 Liter,1L,bottle,BR-johnnie-walker-black-label-black-labels-1-liter,Johnnie Walker Black Label,Whisky,5500
Johnnie Walker Black Label,Black Label 750ml,750ml,bottle,BR-johnnie-walker-black-label-black-label-750ml,Johnnie Walker Black Label,Whisky,4500
Johnnie Walker Black Label,Black Label Half,500ml,bottle,BR-johnnie-walker-black-label-black-label-half,Johnnie Walker Black Label,Whisky,2500
